Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"TA","Animaux vivants","112","Jordanie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","378","*","Chiffre non officiel"
"TA","Animaux vivants","108","Kazakhstan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5800","","Donnée officielle"
"TA","Animaux vivants","108","Kazakhstan","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","18","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","309","","Donnée officielle"
"TA","Animaux vivants","114","Kenya","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","4357","","Donnée officielle"
"TA","Animaux vivants","113","Kirghizistan","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","128","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","113","Kirghizistan","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","83","Kiribati","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","","M","Donnée non disponible"
"TA","Animaux vivants","118","Koweït","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","2707","","Donnée officielle"
"TA","Animaux vivants","118","Koweït","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","698","","Donnée officielle"
"TA","Animaux vivants","122","Lesotho","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","3388","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","122","Lesotho","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","F","Estimation FAO"
"TA","Animaux vivants","119","Lettonie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","1888","","Donnée officielle"
"TA","Animaux vivants","119","Lettonie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","172","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","976","","Donnée officielle"
"TA","Animaux vivants","121","Liban","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","27","","Donnée officielle"
"TA","Animaux vivants","123","Libéria","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","0","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","124","Libye","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","473","R","Données estimées en utilisant les données des pays partenaires"
"TA","Animaux vivants","126","Lituanie","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","5343","","Donnée officielle"
"TA","Animaux vivants","126","Lituanie","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","2721","","Donnée officielle"
"TA","Animaux vivants","256","Luxembourg","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","97","","Donnée officielle"
"TA","Animaux vivants","256","Luxembourg","5909","Exportations - Quantité","1057","Poulets","2013","2013","1000 têtes","164","","Donnée officielle"
"TA","Animaux vivants","154","Macédoine du Nord","5609","Importations - Quantité","1057","Poulets","2013","2013","1000 têtes","617","","Donnée officielle"
